City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chokurdakh,70.63,147.92,-27.67,85,9,1.36,RU,1607285827
Port Alfred,-33.59,26.89,68.99,87,100,23.62,ZA,1607285806
Severo-Kuril'sk,50.68,156.12,27.32,90,100,16.42,RU,1607285827
Mataura,-46.19,168.86,64.99,71,8,4.0,NZ,1607285827
Khasan,42.43,130.64,29.25,85,2,18.05,RU,1607285828
Nishihara,26.18,127.76,71.6,83,40,6.93,JP,1607285793
Mehamn,71.04,27.85,32.0,89,75,13.87,NO,1607285808
Barrow,71.29,-156.79,12.2,78,90,11.41,US,1607285702
Rantepao,-2.97,119.9,66.33,85,100,2.82,ID,1607285828
Krasnosel'kup,65.7,82.47,12.54,96,100,14.41,RU,1607285829
Te Anau,-45.42,167.72,56.66,74,4,7.61,NZ,1607285829
Laguna,38.42,-121.42,60.01,47,1,5.82,US,1607285744
Iqaluit,63.75,-68.51,14.0,78,90,20.8,CA,1607285829
Geraldton,-28.77,114.6,57.2,82,0,9.17,AU,1607285829
Lebu,-37.62,-73.65,59.18,75,1,13.38,CL,1607285830
Vaini,-21.2,-175.2,78.8,88,40,9.17,TO,1607285830
Drayton Valley,53.22,-114.99,37.78,75,7,8.12,CA,1607285830
Caluquembe,-13.78,14.68,60.13,92,95,7.78,AO,1607285830
Shubarshi,48.59,57.19,2.16,92,0,5.95,KZ,1607285831
Solapur,17.68,75.92,67.57,45,89,10.56,IN,1607285831
Abong Mbang,3.98,13.18,72.84,44,98,2.08,CM,1607285831
Punta Arenas,-53.15,-70.92,68.0,45,75,26.4,CL,1607285832
Aitape,-3.14,142.35,77.86,83,100,4.5,PG,1607285832
George Town,5.41,100.34,78.8,88,20,7.45,MY,1607285832
Hilo,19.73,-155.09,79.0,65,20,4.7,US,1607285771
Hermanus,-34.42,19.23,66.99,83,99,8.99,ZA,1607285833
Lompoc,34.64,-120.46,62.01,51,1,5.82,US,1607285833
Cape Town,-33.93,18.42,71.6,64,40,12.75,ZA,1607285700
Dikson,73.51,80.55,0.05,91,100,8.63,RU,1607285788
Talnakh,69.49,88.4,12.2,92,90,22.37,RU,1607285834
Albany,42.6,-73.97,34.0,53,0,8.01,US,1607285779
Yellowknife,62.46,-114.35,21.2,92,75,12.75,CA,1607285562
Berlevåg,70.86,29.09,32.0,86,20,13.87,NO,1607285834
Vila Franca do Campo,37.72,-25.43,55.4,76,20,5.82,PT,1607285835
Puerto Ayora,-0.74,-90.35,82.4,54,75,11.41,EC,1607285835
Forsytheganj,52.63,29.73,23.85,92,0,12.15,BY,1607285835
Praia da Vitória,38.73,-27.07,59.0,82,20,10.96,PT,1607285592
Nemuro,43.32,145.57,37.45,77,100,6.06,JP,1607285599
Chihuahua,28.5,-106.0,57.99,27,5,6.93,MX,1607285598
Horconcitos,8.47,-81.8,77.09,67,89,1.54,PA,1607285836
Rawson,-43.3,-65.1,83.05,24,100,17.69,AR,1607285836
Nichinan,31.6,131.37,55.67,85,59,6.8,JP,1607285837
Meulaboh,4.14,96.13,76.37,87,100,4.74,ID,1607285837
Zhangye,38.93,100.45,17.01,89,14,2.66,CN,1607285716
Sakakah,29.97,40.21,51.8,71,0,5.59,SA,1607285838
San Francisco,37.77,-122.42,59.0,76,40,3.36,US,1607285632
Rikitea,-23.12,-134.97,76.42,77,0,14.2,PF,1607285838
Butaritari,3.07,172.79,81.34,78,59,10.27,KI,1607285768
Arraial do Cabo,-22.97,-42.03,78.8,88,90,13.87,BR,1607285838
Naze,28.37,129.48,68.0,88,20,4.7,JP,1607285825
Qaanaaq,77.48,-69.36,-1.64,73,100,2.66,GL,1607285839
Kahului,20.89,-156.47,80.6,57,1,3.36,US,1607285704
Hluti,-27.22,31.62,77.0,73,32,8.05,SZ,1607285839
Busselton,-33.65,115.33,54.0,85,0,1.01,AU,1607285840
Diré,12.28,-10.97,80.33,22,0,0.63,ML,1607285840
Pevek,69.7,170.31,1.06,93,98,0.45,RU,1607285840
Constitución,-35.33,-72.42,64.99,57,9,10.74,CL,1607285840
Vao,-22.67,167.48,76.41,83,42,18.77,NC,1607285841
Ribeira Grande,38.52,-28.7,59.0,72,40,10.29,PT,1607285786
Tuktoyaktuk,69.45,-133.04,1.4,77,75,17.22,CA,1607285841
Atuona,-9.8,-139.03,78.62,74,2,20.51,PF,1607285841
Ushuaia,-54.8,-68.3,53.6,76,75,9.17,AR,1607285708
Mitsamiouli,-11.38,43.28,81.39,73,0,10.27,KM,1607285842
Marsá Maţrūḩ,31.35,27.25,57.2,58,0,16.11,EG,1607285842
Aklavik,68.22,-135.01,-20.2,68,20,2.24,CA,1607285842
Avarua,-21.21,-159.78,82.4,78,82,14.99,CK,1607285783
Longyearbyen,78.22,15.64,23.0,79,90,33.33,SJ,1607285789
Leningradskiy,69.38,178.42,12.22,86,90,2.89,RU,1607285843
Saint George,37.1,-113.58,48.2,18,1,2.64,US,1607285643
Flinders,-34.58,150.86,60.01,72,0,1.01,AU,1607285765
Bilibino,68.05,166.44,-0.96,89,89,3.62,RU,1607285844
Lüderitz,-26.65,15.16,61.54,78,0,17.27,NA,1607285844
Kununurra,-15.77,128.73,80.6,100,21,5.82,AU,1607285844
Namie,37.48,141.0,43.0,77,0,6.2,JP,1607285844
Bindura,-17.3,31.33,63.0,92,100,4.0,ZW,1607285845
Jaisalmer,26.91,70.92,68.16,26,0,8.34,IN,1607285781
Belaya Gora,68.53,146.42,-30.73,85,96,1.41,RU,1607285845
Springbok,-29.66,17.89,49.62,94,0,4.12,ZA,1607285845
Sistranda,63.73,8.83,35.6,93,40,9.17,NO,1607285846
Kapaa,22.08,-159.32,77.0,73,1,4.7,US,1607285846
Isangel,-19.55,169.27,79.66,80,100,10.6,VU,1607285792
Hobart,-42.88,147.33,51.01,61,75,10.29,AU,1607285777
Bluff,-46.6,168.33,64.99,71,28,4.0,NZ,1607285847
Jamestown,42.1,-79.24,30.0,73,90,8.05,US,1607285847
Bonoua,5.27,-3.6,82.4,83,20,9.17,CI,1607285847
Galesong,-5.32,119.37,75.2,94,100,3.36,ID,1607285847
Codrington,-38.27,141.97,48.54,87,99,13.22,AU,1607285847
Mimongo,-1.62,11.61,69.78,95,100,1.5,GA,1607285848
Pringsewu,-5.36,104.97,72.43,90,96,1.68,ID,1607285848
Båtsfjord,70.63,29.72,32.0,85,0,14.99,NO,1607285848
Bartica,6.4,-58.62,86.0,70,40,11.41,GY,1607285849
Amapá,1.0,-52.0,89.69,47,63,6.93,BR,1607285849
Ostrovnoy,68.05,39.51,27.46,92,100,10.13,RU,1607285849
Tāsgaon,17.03,74.6,68.92,46,100,9.84,IN,1607285849
Dingle,11.0,122.67,75.38,91,100,4.79,PH,1607285794
Flin Flon,54.77,-101.86,24.8,100,20,6.93,CA,1607285850
Lindås,60.74,5.16,39.0,75,100,4.0,NO,1607285850
Esik,43.36,77.45,21.2,92,90,4.47,KZ,1607285851
São Domingos,-13.4,-46.32,78.42,77,100,1.7,BR,1607285851
Saint-Philippe,-21.36,55.77,77.0,73,0,3.36,RE,1607285851
Alenquer,-1.94,-54.74,89.6,66,20,5.82,BR,1607285695
Viedma,-40.81,-63.0,91.99,14,0,7.0,AR,1607285851
Aykhal,66.0,111.5,-5.8,83,90,8.95,RU,1607285852
Yerbogachën,61.28,108.01,7.27,93,100,11.14,RU,1607285852
Cidreira,-30.18,-50.21,65.46,89,100,14.14,BR,1607285852
Tasiilaq,65.61,-37.64,24.8,92,100,1.12,GL,1607285852
Usakos,-22.0,15.6,61.95,58,0,7.49,NA,1607285853
Rjukan,59.88,8.59,37.0,93,100,4.0,NO,1607285853
Provideniya,64.38,-173.3,19.4,73,0,13.42,RU,1607285853
Ponta do Sol,32.67,-17.1,60.8,77,40,6.93,PT,1607285775
Carnarvon,-24.87,113.63,71.6,73,21,16.11,AU,1607285786
Lodja,-3.48,23.43,74.86,75,98,1.45,CD,1607285854
Del Rio,29.36,-100.9,68.0,26,1,23.04,US,1607285715
Clyde River,70.47,-68.59,3.2,91,90,11.41,CA,1607285854
Lavrentiya,65.58,-171.0,15.03,91,0,10.63,RU,1607285854
Skjervøy,70.03,20.97,26.6,68,0,18.34,NO,1607285855
Hithadhoo,-0.6,73.08,82.18,80,96,18.9,MV,1607285771
